668-603562189564219392	RT CoachhCruz Glad to see the Houston fam is still tippin on 4 4s houstonflood 
668-603562212326649856	So thankful for the sunshine this morning Praying that the rain ceases in the areas where there is flooding DFW weather houstonflood
668-603562215690489857	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcoPSxFLAjp3v
668-603562219469578240	Stormy ride to school on I10 highway houstonflood Houston 
668-603562222565089281	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcoPSxFLA
668-603562247697272834	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcodyVpXgA84y
668-603562252894089216	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcodyVpXg
668-603562255351947264	HoustonFlood Someone trolled a news station by sending them a photo from Jurassic Park 
668-603562259718086657	RT Cal1M1ke On our way to get some food In Houston like cx houstonflood 
668-603562278206705664	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603562283390742530	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstco1o6lhojWZh
668-603562285571788800	MischaSuitsFan NikkyBriggs1 diannemelton NatSuits GabrielMachtFan peetverhoef  Need Gabriel pics 2 cope w HoustonFlood Anyone
668-603562287266422784	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstco1o6lho
668-603562298997755905	RT FBCSO In case you need a reminder of why you should keep your kids out of the flood waters HoustonFlood 
668-603562321638723584	4000  homes damaged in houstonflood according to weatherchannel important to contact your insurance company 
668-603562335265914880	What we dont need is MORE rain HOU Houston houstonflood Texas TexasFlood SOS
668-603562338222931968	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstco06KU67netz
668-603562344929701888	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstco06KU67
668-603562347660062720	RT Duracell Houston amp San Marcos were coming wFREE batteries amp mobile charging to help those impacted by the houstonflood 
668-603562351779049472	RT Cal1M1ke On our way to get some food In Houston like cx houstonflood 
668-603562365284679680	schoolclosure Again PrayForHouston all affected City amp States Honestly HoustonFlood httpstcoNBhx42jkTP
668-603562369160056833	Houston is looking like something from The Walking Dead houstonflood 
668-603562373480259584	Damn the rain just wont quit down there  drogo89 are you still alive today houstonflood
668-603562388755881984	RT BillBishopKHOU 4 dead  2 missing  4000 homes flooded  Tomorrowhas to be better houstonflood khou11Photo Kyle Denton http
668-603562389624131584	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcoGidTfP1c2I
668-603562393503932417	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcoGidTfP
668-603562398302089216	RT jwharris Updated map of Texas txflood ctxwx houstonflood 
668-603562408502693889	RT AARonRodgers This is incredibly accurate  TexasFlood houstonflood perspective 
668-603562411371548672	RT Cal1M1ke On our way to get some food In Houston like cx houstonflood 
668-603562421073022977	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcorATJlgGG03
668-603562423736475648	RT NewsFixHouston Storms moving across SE Texas bringing new batch of Flash Flood warnings  WXALERT HOUSTONFLOOD
668-603562426697719808	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcorATJlg
668-603562427280556033	RT WhiteboyChris Im at the stage of this storm where buying a boat makes more sense than keeping my car houstonflood 
668-603562496868265985	George Bush was blamed for Hurricane KatrinaClimateChange will be blamed for houstonflood because Barack Obamas a Democrat
668-603562500525789184	houstonflood Homecoming queen swept to death while returning from high school prom 
668-603562504392822784	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstco7jMRPGbVq3
668-603562508750876672	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstco7jMRPG
668-603562540208095232	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstco5gOtJicfZG
668-603562541046988800	I can tell you who is NOT my Wcw Mother Nature houstonflood httpstconVSZpM7uHS
668-603562543521599490	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstco5gOtJi
668-603562564178485251	RT Cal1M1ke On our way to get some food In Houston like cx houstonflood 
668-603562572575412224	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcoqEtQWdxRDn
